"H,""30001760"", ""SOUTH STAR DRUG -  PAMPANGA"",""3001139479"",""01/25/2022"",60801.32,4576.44,.F.,""4256300"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139553"",""01/25/2022"",40739.81,3066.45,.F.,""4263567"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139637"",""01/25/2022"",72508.05,5457.62,.F.,""4230180"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139660"",""01/25/2022"",134077.78,10091.88,.F.,""4229758"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139661"",""01/25/2022"",76625.93,5767.55,.F.,""4229797"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139662"",""01/25/2022"",110637.53,8327.56,.F.,""4229804"""
"H,""30001760"", ""SOUTH STAR DRUG -  PAMPANGA"",""3001139663"",""01/25/2022"",102554.79,7719.19,.F.,""4229826"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139664"",""01/25/2022"",69643.20,5241.96,.F.,""4225471"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139665"",""01/25/2022"",72243.11,5437.68,.F.,""4230073"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139666"",""01/25/2022"",58560.33,4407.77,.F.,""4229701"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139667"",""01/25/2022"",83053.26,6251.34,.F.,""4229707"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139668"",""01/25/2022"",67205.60,5058.49,.F.,""4230116"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139669"",""01/25/2022"",48928.53,3682.82,.F.,""4229731"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139670"",""01/25/2022"",90568.21,6816.92,.F.,""4229873"""
"H,""30013346"", ""DC5 - TIPAS TAGUIG"",""3001139671"",""01/25/2022"",54557.31,4106.48,.F.,""4229996"""
